PSNR: 18.043887369635836, SSIM: 0.24496383096562724
PSNR: 17.96747205671323, SSIM: 0.2409699699887832
PSNR: 17.986097648755454, SSIM: 0.24112238296440328
PSNR: 17.891160620525085, SSIM: 0.23399314340453872
PSNR: 18.068944936738227, SSIM: 0.24761667221818265
PSNR: 17.998455687017888, SSIM: 0.24439783239799506
PSNR: 17.90198237316201, SSIM: 0.244137413889525
PSNR: 18.02114009739639, SSIM: 0.2428839615030761
PSNR: 17.956952896801624, SSIM: 0.24345105899240757
PSNR: 18.037282145410163, SSIM: 0.2455179803535423
PSNR: 17.856031991960513, SSIM: 0.23699540836645736
PSNR: 17.834706463492264, SSIM: 0.2417750969619945
PSNR: 17.810527902213998, SSIM: 0.23759844204752847
PSNR: 18.09173580578545, SSIM: 0.23619842079935402
PSNR: 17.789787892343327, SSIM: 0.2410729281033047
PSNR: 17.961732222764553, SSIM: 0.24833949604679975
PSNR: 17.974090460669736, SSIM: 0.2478755092381043
PSNR: 17.668190967034448, SSIM: 0.22730901358290864
PSNR: 18.075241112724274, SSIM: 0.24438285635859958
PSNR: 17.95648746047326, SSIM: 0.24674960753498423
