PSNR: 66.01805230657646, SSIM: 0.9975449315128696
PSNR: 66.2151530306784, SSIM: 0.9976616792966707
PSNR: 66.15944452261489, SSIM: 0.9976315096707733
PSNR: 65.98434997979389, SSIM: 0.9975308857327408
PSNR: 66.05005704119529, SSIM: 0.9975726320715749
PSNR: 66.40387835431082, SSIM: 0.99777409007037
PSNR: 66.35430170527832, SSIM: 0.99775138081818
PSNR: 66.19354844799356, SSIM: 0.9976675390373663
PSNR: 66.24081762022428, SSIM: 0.9977021770108744
PSNR: 66.04434120739198, SSIM: 0.997585968677145
PSNR: 66.05704372610288, SSIM: 0.9975999223915483
PSNR: 66.08478425929842, SSIM: 0.997610334675341
PSNR: 65.92954140442649, SSIM: 0.9975296047592473
PSNR: 65.98480950241432, SSIM: 0.9975595797173691
PSNR: 66.03152992483737, SSIM: 0.9975844460985205
PSNR: 66.11405760569798, SSIM: 0.9976312179542385
PSNR: 65.97189735893544, SSIM: 0.9975557704082515
PSNR: 66.06188819910463, SSIM: 0.9976124145554645
PSNR: 66.0490380504568, SSIM: 0.9976008726484125
PSNR: 66.07271913191421, SSIM: 0.9976224012422751
